what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586520164
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1626586546729
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1626586546746
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1626586546787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586555496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586638014
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1626586644682
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1626586644684
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1626586644686
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1626586644742
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1626586644823
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1626586644916
opened,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1626586645055
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1626586645091
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1626586645105
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1626586645153
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1626586645153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586656940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586683002
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586688625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586693470
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1626586693493
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1626586693493
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1626586700114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586701223
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586718923
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1626586738945
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586739399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586741310
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.customizePerspective",1626586741331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586749731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586749735
opened,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586749829
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1626586749829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.newWindow",1626586749868
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586752636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586752684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1626586753952
